url,page_type,locale,inbound_links,unique_inbound_pages,crawl_depth,hub_membership,related_tool_links,related_guide_links,related_workflow_links,status
https://funnytools.win/en/guides/,hub,en,193,193,1,/en/category/draw/;/en/category/image/;/en/category/money/;/en/category/pdf/;/en/category/random/;/en/category/statistics/;/en/category/study/;/en/category/text/;/en/category/time/;/en/for/;/en/guides/;/en/;/en/tools/;/en/workflows/;/es/guias/;/guides/,0,142,7,OK
https://funnytools.win/en/guides/json-formatter-trailing-comma-error-guide/,guide,en,5,5,2,/en/guides/,7,2,0,OK
https://funnytools.win/en/guides/merge-pdf-bookmarks-navigation-guide/,guide,en,4,4,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/merge-pdf-page-size-orientation-guide/,guide,en,9,9,2,/en/guides/,7,3,0,OK
https://funnytools.win/en/guides/merge-pdf-private-guide/,guide,en,14,14,2,/en/category/statistics/;/en/guides/,9,2,0,OK
https://funnytools.win/en/guides/merge-pdf-reading-order-checklist-guide/,guide,en,9,9,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-accessibility-reading-order-check-guide/,guide,en,2,2,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-compressor-email-attachment-guide/,guide,en,5,5,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-compressor-form-fields-links-guide/,guide,en,3,3,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-page-reorder-appendix-merge-check-guide/,guide,en,4,4,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-split-vs-extract-vs-delete/,guide,en,5,5,2,/en/guides/,8,2,0,OK
https://funnytools.win/en/guides/pdf-table-to-excel-header-check-guide/,guide,en,5,5,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-to-image-background-contrast-guide/,guide,en,5,5,2,/en/guides/,7,3,1,OK
https://funnytools.win/en/guides/pdf-to-image-multipage-download-guide/,guide,en,8,8,2,/en/guides/,7,3,0,OK
https://funnytools.win/en/guides/pdf-to-image-print-crop-marks-guide/,guide,en,3,3,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-to-image-raster-text-search-guide/,guide,en,9,9,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-to-image-resolution-guide/,guide,en,12,12,2,/en/guides/,7,3,0,OK
https://funnytools.win/en/guides/pdf-to-word-form-field-editing-guide/,guide,en,4,4,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-to-word-layout-fidelity-guide/,guide,en,9,9,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-to-word-ocr-language-check-guide/,guide,en,2,2,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/pdf-to-word-review-track-changes-guide/,guide,en,6,6,2,/en/guides/,5,4,1,OK
https://funnytools.win/en/guides/pdf-upload-failed-troubleshooting/,guide,en,5,5,2,/en/guides/,6,2,0,OK
https://funnytools.win/en/guides/percentage-grade-to-gpa-conversion-guide/,guide,en,3,3,2,/en/guides/,4,1,0,OK
https://funnytools.win/en/guides/percentage-shortcuts-guide/,guide,en,8,8,2,/en/category/statistics/;/en/guides/,7,2,0,OK
https://funnytools.win/en/guides/percentile-rank-guide/,guide,en,10,10,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/photos-to-pdf-phone-guide/,guide,en,7,7,2,/en/guides/,9,5,0,OK
https://funnytools.win/en/guides/qr-code-accessible-fallback-guide/,guide,en,3,3,2,/en/guides/,7,4,0,OK
https://funnytools.win/en/guides/qr-code-before-print-testing-guide/,guide,en,12,12,2,/en/guides/,7,3,0,OK
https://funnytools.win/en/guides/qr-code-classroom-guide/,guide,en,7,7,2,/en/guides/,5,4,0,OK
https://funnytools.win/en/guides/qr-code-destination-change-log-guide/,guide,en,4,4,2,/en/guides/,7,4,0,OK
https://funnytools.win/en/guides/qr-code-event-page-expiry-guide/,guide,en,7,7,2,/en/guides/,7,4,0,OK
https://funnytools.win/en/guides/qr-code-mobile-landing-page-guide/,guide,en,11,11,2,/en/guides/,5,3,0,OK
https://funnytools.win/en/guides/qr-code-multi-placement-consistency-guide/,guide,en,2,2,2,/en/guides/,7,4,0,OK
https://funnytools.win/en/guides/qr-code-multilingual-switch-testing-guide/,guide,en,4,4,2,/en/guides/,7,4,0,OK
https://funnytools.win/en/guides/qr-code-payload-length-guide/,guide,en,6,6,2,/en/guides/,7,3,0,OK
https://funnytools.win/en/guides/qr-code-scan-failure-field-troubleshooting-guide/,guide,en,3,3,2,/en/guides/,7,4,0,OK
https://funnytools.win/en/guides/qr-code-utm-campaign-link-guide/,guide,en,5,5,2,/en/guides/,5,4,1,OK
https://funnytools.win/en/guides/seating-chart-changeover-routine-guide/,guide,en,5,5,2,/en/guides/,7,3,1,OK
https://funnytools.win/en/guides/seating-chart-student-needs-intake-guide/,guide,en,6,6,2,/en/guides/,7,3,1,OK
https://funnytools.win/en/guides/split-pdf-output-naming-batch-delivery-guide/,guide,en,3,3,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/split-pdf-page-range-planning-guide/,guide,en,8,8,2,/en/guides/,7,4,1,OK
https://funnytools.win/en/guides/spss-levene-test-guide/,guide,en,12,12,1,/en/guides/;/en/;/en/workflows/,7,5,1,OK
https://funnytools.win/en/guides/t-score-calculator-guide/,guide,en,15,15,1,/en/category/statistics/;/en/guides/;/en/;/en/workflows/,9,5,1,OK
https://funnytools.win/en/guides/t-test-apa-format-guide/,guide,en,11,11,1,/en/guides/;/en/;/en/workflows/,5,4,1,OK
