source_url,source_locale,target_url,target_locale,link_text,context,indexable,allowed,enforced,reason
"https://funnytools.win/en/tools/apa-7-report-generator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/bar-chart-maker/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/barcode-generator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/base64/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/break-reminder/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/bulk-image-compressor/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/business-days/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/cad-2d/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/case-converter/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/character-counter/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/class-rank-percentile-calculator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/color-generator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/compound-interest/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/countdown-timer/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/cronbach-alpha-calculator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/csv-to-json/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/date-difference/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/delete-pdf-pages/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/dice-roller/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/extract-pdf-pages/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/flowchart/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/gpa-calculator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/grade-average/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/group-generator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/image-compressor/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/image-crop/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/image-resizer/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/image-rotate-flip/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/image-to-base64/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/image-to-dxf/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/images-to-pdf/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/independent-samples-t-test-calculator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/inflation/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/jpg-to-png/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/jpg-to-webp/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/json-formatter/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/json-to-csv/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/markdown-previewer/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/merge-pdf/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/mortgage-payment/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/net-salary/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/normalized-score-converter/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/overtime-pay/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/password-generator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/pdf-compressor/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/pdf-page-reorder/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/pdf-table-to-excel/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/pdf-to-image/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/pdf-to-word/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/percentage-calculator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/percentile-rank-calculator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/pie-chart-maker/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/png-to-jpg/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/pomodoro-timer/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/qr-code-generator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/random-group-generator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/random-name-picker/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/random-number-picker/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/random-student-picker/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/random-wheel/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/remove-duplicate-lines/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/remove-empty-lines/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/rotate-pdf/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/savings-goal/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/seating-chart/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/sketchpad/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/sort-lines/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/split-pdf/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/spss-result-interpreter/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/standard-deviation/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/stopwatch/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
"https://funnytools.win/en/tools/t-score-calculator/","en","https://funnytools.win/affiliate-disclosure/","zh","Full disclosure (Traditional Chinese)","content","false","true","false","intent:disclosure-only-zh"
