url,google_status,google_canonical,user_canonical,canonical_category,coverage_state,tool_slug,functional_signature,similarity_pair_count,max_boilerplate_adjusted_similarity,intent_relationships,inspection_result_link
https://funnytools.win/en/workflows/,Crawled Not Indexed,https://funnytools.win/en/workflows/,https://funnytools.win/en/workflows/,SELF_MATCH,Crawled - currently not indexed,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=w5iAncYi09sGfDSRyDFRtQ&utm_medium=link&utm_source=api
https://funnytools.win/en/workflows/creator-social-toolkit/,Crawled Not Indexed,https://funnytools.win/en/workflows/creator-social-toolkit/,https://funnytools.win/en/workflows/creator-social-toolkit/,SELF_MATCH,Crawled - currently not indexed,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=YwuZSCV7tx67hurUgydbEw&utm_medium=link&utm_source=api
https://funnytools.win/en/workflows/daily-decision-toolkit/,Unknown,,,GOOGLE_CANONICAL_ABSENT,URL is unknown to Google,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=udna2Di5dRaVqQZzsc9HUw&utm_medium=link&utm_source=api
https://funnytools.win/en/workflows/graduate-statistics-report-toolkit/,Crawled Not Indexed,https://funnytools.win/en/workflows/graduate-statistics-report-toolkit/,https://funnytools.win/en/workflows/graduate-statistics-report-toolkit/,SELF_MATCH,Crawled - currently not indexed,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=hg12qkppd_P7g-oocF4OEg&utm_medium=link&utm_source=api
https://funnytools.win/en/workflows/office-document-toolkit/,Crawled Not Indexed,https://funnytools.win/en/workflows/office-document-toolkit/,https://funnytools.win/en/workflows/office-document-toolkit/,SELF_MATCH,Crawled - currently not indexed,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=etbIM-agNyObs_pAbA-N7w&utm_medium=link&utm_source=api
https://funnytools.win/en/workflows/student-report-toolkit/,Crawled Not Indexed,https://funnytools.win/en/workflows/student-report-toolkit/,https://funnytools.win/en/workflows/student-report-toolkit/,SELF_MATCH,Crawled - currently not indexed,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=NvjKUyywMMFWdwD6J20CaA&utm_medium=link&utm_source=api
https://funnytools.win/en/workflows/teacher-classroom-random-toolkit/,Unknown,,,GOOGLE_CANONICAL_ABSENT,URL is unknown to Google,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=baKpmQ29BhgpJ1HBTohtgw&utm_medium=link&utm_source=api
https://funnytools.win/en/workflows/teacher-exam-score-toolkit/,Crawled Not Indexed,https://funnytools.win/en/workflows/teacher-exam-score-toolkit/,https://funnytools.win/en/workflows/teacher-exam-score-toolkit/,SELF_MATCH,Crawled - currently not indexed,,,3,0.69,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=1Fb3uapQ3z14_FNqCcy5nQ&utm_medium=link&utm_source=api
https://funnytools.win/es/,Indexed,https://funnytools.win/es/,https://funnytools.win/es/,SELF_MATCH,Enviada e indexada,,,1,0.884,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=NFPug0Z6gOFYTcKmpD6qWw&utm_medium=link&utm_source=api
https://funnytools.win/es/apoyar-funnytools/,Crawled Not Indexed,https://funnytools.win/es/apoyar-funnytools/,https://funnytools.win/es/apoyar-funnytools/,SELF_MATCH,Rastreada: actualmente sin indexar,,,4,0.843,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=uyn50_Pnkc6HwdEf04-OnA&utm_medium=link&utm_source=api
