tier_rank,selection_reason,url,locale,page_type,content_cluster,tool_slug,google_status,google_known,google_crawled,google_indexed,coverage_state,last_crawl_time,last_crawl_age_days,google_canonical,user_canonical,canonical_category,internal_link_count,crawl_depth,value_score,opportunity_score,search_28_clicks,search_28_impressions,search_28_position,inspection_result_link
11,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/tirar-dados-online/,es,tool,random,dice-roller,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-09T04:31:05Z,35,https://funnytools.win/es/herramientas/tirar-dados-online/,https://funnytools.win/es/herramientas/tirar-dados-online/,SELF_MATCH,163,1,,151,0,1,62,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=HN-KhQPgvi8us8X1q3M_gQ&utm_medium=link&utm_source=api
12,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,es,tool,statistics,cronbach-alpha-calculator,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-19T00:59:18Z,25,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,SELF_MATCH,161,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Bay-G47wIz5sndaIBn-2CQ&utm_medium=link&utm_source=api
13,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,es,tool,statistics,standard-deviation,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-08T13:19:57Z,35,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=SI9Jmm8zGePStOVv7jar5Q&utm_medium=link&utm_source=api
14,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,es,tool,time,business-days,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-19T18:06:28Z,24,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=qWi3F_PmLpqnqZgm7_emNg&utm_medium=link&utm_source=api
15,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-hipoteca/,es,tool,money,mortgage-payment,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-23T01:14:06Z,21,https://funnytools.win/es/herramientas/calculadora-hipoteca/,https://funnytools.win/es/herramientas/calculadora-hipoteca/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Ri1LiBDXwDIRrEk5-hApiA&utm_medium=link&utm_source=api
16,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-inflacion/,es,tool,money,inflation,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-20T17:34:39Z,23,https://funnytools.win/es/herramientas/calculadora-inflacion/,https://funnytools.win/es/herramientas/calculadora-inflacion/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=eNmXfpMMYxlU-VRnnTME7g&utm_medium=link&utm_source=api
17,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-interes-compuesto/,es,tool,money,compound-interest,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-16T16:17:51Z,27,https://funnytools.win/es/herramientas/calculadora-interes-compuesto/,https://funnytools.win/es/herramientas/calculadora-interes-compuesto/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=i7lpHKeuK0paxElbPMXIpw&utm_medium=link&utm_source=api
18,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,es,tool,statistics,weighted-average-calculator,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-24T23:49:35Z,19,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,https://funnytools.win/es/herramientas/calculadora-media-ponderada/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=DgG1IpsjLDbTJuRMvFabMQ&utm_medium=link&utm_source=api
19,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,es,tool,statistics,teacher-exam-score-converter,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-09T03:39:10Z,35,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,https://funnytools.win/es/herramientas/calculadora-nota-oposicion-docente/,SELF_MATCH,161,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Qepo_P29nzgfK3814l5AZw&utm_medium=link&utm_source=api
20,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-percentil-ranking-clase/,es,tool,statistics,class-rank-percentile-calculator,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-20T17:47:22Z,23,https://funnytools.win/es/herramientas/calculadora-percentil-ranking-clase/,https://funnytools.win/es/herramientas/calculadora-percentil-ranking-clase/,SELF_MATCH,161,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Dy4Ai2eFEdMR6dlvUNoJpg&utm_medium=link&utm_source=api
21,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-porcentajes/,es,tool,statistics,percentage-calculator,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-05T14:30:23Z,38,https://funnytools.win/es/herramientas/calculadora-porcentajes/,https://funnytools.win/es/herramientas/calculadora-porcentajes/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=0JCKnv25PMDYyLGsiEOkog&utm_medium=link&utm_source=api
22,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-promedio-notas/,es,tool,statistics,grade-average,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-06T06:44:21Z,38,https://funnytools.win/es/herramientas/calculadora-promedio-notas/,https://funnytools.win/es/herramientas/calculadora-promedio-notas/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=3R1oRbFbMaFgclxBDTTqvA&utm_medium=link&utm_source=api
23,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-puntuacion-t/,es,tool,statistics,t-score-calculator,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-07T12:54:21Z,36,https://funnytools.win/es/herramientas/calculadora-puntuacion-t/,https://funnytools.win/es/herramientas/calculadora-puntuacion-t/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ldUcy8q9Ny4-RLWzT9_Nqw&utm_medium=link&utm_source=api
24,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-puntuacion-z/,es,tool,statistics,z-score-calculator,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-09-09T03:45:50Z,4,https://funnytools.win/es/herramientas/calculadora-puntuacion-z/,https://funnytools.win/es/herramientas/calculadora-puntuacion-z/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Asf51zFOVpK44l5OQ6FxQg&utm_medium=link&utm_source=api
25,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calculadora-t-muestras-independientes/,es,tool,statistics,independent-samples-t-test-calculator,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-25T01:33:17Z,19,https://funnytools.win/es/herramientas/calculadora-t-muestras-independientes/,https://funnytools.win/es/herramientas/calculadora-t-muestras-independientes/,SELF_MATCH,162,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=q5LdKueGpow0F5vFLjBvqA&utm_medium=link&utm_source=api
26,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,es,tool,time,date-difference,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-18T14:51:32Z,25,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,https://funnytools.win/es/herramientas/calcular-diferencia-entre-fechas/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=ZZ05NergaB7AjH5QUIbIUQ&utm_medium=link&utm_source=api
27,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/codificar-decodificar-url/,es,tool,text,url-encoder,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-09-12T03:53:37Z,1,,,GOOGLE_CANONICAL_ABSENT,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Par--DnYz2Ew20aOl2bMCg&utm_medium=link&utm_source=api
28,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/conversor-puntuaciones-estandarizadas/,es,tool,statistics,normalized-score-converter,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-15T03:41:35Z,29,https://funnytools.win/es/herramientas/conversor-puntuaciones-estandarizadas/,https://funnytools.win/es/herramientas/conversor-puntuaciones-estandarizadas/,SELF_MATCH,161,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=PIlPYqKqtLhg8EIJgvkOSA&utm_medium=link&utm_source=api
29,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/convertir-csv-a-json/,es,tool,text,csv-to-json,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-25T02:43:44Z,19,https://funnytools.win/es/herramientas/convertir-csv-a-json/,https://funnytools.win/es/herramientas/convertir-csv-a-json/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=gagUzjq9LyHN4Da0vhB9Ug&utm_medium=link&utm_source=api
30,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,es,tool,image,jpg-to-png,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-02T17:00:15Z,41,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=_GjtXdG-xcenzSJ3UmuAWQ&utm_medium=link&utm_source=api
31,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,es,tool,image,jpg-to-webp,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-20T15:41:58Z,23,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=X8zY9BxyATfPuOANTki3cQ&utm_medium=link&utm_source=api
32,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/convertir-mayusculas-minusculas/,es,tool,text,case-converter,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-25T13:01:49Z,18,https://funnytools.win/es/herramientas/convertir-mayusculas-minusculas/,https://funnytools.win/es/herramientas/convertir-mayusculas-minusculas/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=fNg4efZRvaVvPI6D3DXWyA&utm_medium=link&utm_source=api
33,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/convertir-timestamp-unix/,es,tool,time,timestamp-converter,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-08T16:46:59Z,35,https://funnytools.win/es/herramientas/convertir-timestamp-unix/,https://funnytools.win/es/herramientas/convertir-timestamp-unix/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=9fGCUBuyVasAXgUXCFoYSw&utm_medium=link&utm_source=api
34,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/crear-diagrama-flujo/,es,tool,draw,flowchart,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-19T16:55:53Z,24,https://funnytools.win/es/herramientas/crear-diagrama-flujo/,https://funnytools.win/es/herramientas/crear-diagrama-flujo/,SELF_MATCH,164,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=nTundTfecpJ_lCGbDsK_aQ&utm_medium=link&utm_source=api
35,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/crear-plano-asientos-aula/,es,tool,study,seating-chart,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-19T18:35:59Z,24,https://funnytools.win/es/herramientas/crear-plano-asientos-aula/,https://funnytools.win/es/herramientas/crear-plano-asientos-aula/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=x-48xcxV-0pqkZRH6U3kJw&utm_medium=link&utm_source=api
36,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,es,tool,random,this-or-that,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-10T15:40:43Z,33,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=vESwRADFqgaRfxFRmupFmQ&utm_medium=link&utm_source=api
37,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/dividir-pdf/,es,tool,pdf,split-pdf,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-16T15:31:25Z,27,https://funnytools.win/es/herramientas/dividir-pdf/,https://funnytools.win/es/herramientas/dividir-pdf/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=UYyTMMiKXyTNg_HWCI6vZw&utm_medium=link&utm_source=api
38,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/editor-markdown-online/,es,tool,text,markdown-previewer,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-08-19T16:20:40Z,24,https://funnytools.win/es/herramientas/editor-markdown-online/,https://funnytools.win/es/herramientas/editor-markdown-online/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=DIv34Fshqk_SaQm0p9jVDw&utm_medium=link&utm_source=api
39,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/eliminar-lineas-vacias/,es,tool,text,remove-empty-lines,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-09-02T04:44:11Z,11,https://funnytools.win/es/herramientas/eliminar-lineas-vacias/,https://funnytools.win/es/herramientas/eliminar-lineas-vacias/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=T1TRUrZbGzLvwWoXtyuLZA&utm_medium=link&utm_source=api
40,high functional/value/internal-link/search-support score,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,es,tool,pdf,extract-pdf-pages,Crawled Not Indexed,yes,yes,no,Rastreada: actualmente sin indexar,2026-07-30T17:20:19Z,44,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,SELF_MATCH,163,1,,150,,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=9ql1W6tA6KiD3VfTMr9Nnw&utm_medium=link&utm_source=api
