url,inspected_at,inspection_result_link,url_status,google_known,google_crawled,google_indexed,verdict,coverage_state,robots_txt_state,indexing_state,last_crawl_time,page_fetch_state,google_canonical,user_canonical,canonical_category,crawled_as,sitemap_count,sitemap_urls,referring_url_count,referring_urls,rich_results_available,api_error,api_status,last_crawl_age_days,crawl_recency_bucket,weak_discovery_support
https://funnytools.win/en/category/image/,2026-09-13T08:14:23.728Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=UU4PAG0M3XxzoO796hgjlQ&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-04T17:45:05Z,SUCCESSFUL,https://funnytools.win/en/category/image/,https://funnytools.win/en/category/image/,SELF_MATCH,MOBILE,0,,4,https://funnytools.win/en/; https://funnytools.win/category/image/; http://funnytools.win/category/image/; https://funnytools.win/en/tools/,UNKNOWN,,200,39,>30 days,no
https://funnytools.win/en/category/money/,2026-09-13T08:14:29.501Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=5j0Qr7cKqL_SFUuVMfwtCg&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-17T12:14:53Z,SUCCESSFUL,https://funnytools.win/en/category/money/,https://funnytools.win/en/category/money/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/statistics/; https://funnytools.win/category/money/; https://funnytools.win/en/tools/,UNKNOWN,,200,26,15–30 days,no
https://funnytools.win/en/category/pdf/,2026-09-13T08:14:30.383Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=FJFuUTTF-3kr1EdW0FFLLQ&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-13T14:37:00Z,SUCCESSFUL,https://funnytools.win/en/category/pdf/,https://funnytools.win/en/category/pdf/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/; https://funnytools.win/en/tools/,UNKNOWN,,200,30,15–30 days,no
https://funnytools.win/en/category/random/,2026-09-13T08:14:30.727Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=O5W8pup0rvhHc8r872H2TA&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-20T10:52:31Z,SUCCESSFUL,https://funnytools.win/en/category/random/,https://funnytools.win/en/category/random/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/; https://funnytools.win/en/tools/,UNKNOWN,,200,23,15–30 days,no
https://funnytools.win/en/category/statistics/,2026-09-13T08:14:36.642Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=t4_ES3Y1GB9WuF6RFff4wg&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-18T04:52:21Z,SUCCESSFUL,https://funnytools.win/en/category/statistics/,https://funnytools.win/en/category/statistics/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/es/categorias/estadistica/; https://funnytools.win/category/statistics/; http://funnytools.win/en/tools/class-rank-percentile-calculator/,UNKNOWN,,200,26,15–30 days,no
https://funnytools.win/en/category/study/,2026-09-13T08:14:37.758Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=q2ZTHemJkyzfbdmcpmPgQw&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-17T17:37:21Z,SUCCESSFUL,https://funnytools.win/en/category/study/,https://funnytools.win/en/category/study/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/category/statistics/; https://funnytools.win/en/tools/,UNKNOWN,,200,26,15–30 days,no
https://funnytools.win/en/category/text/,2026-09-13T08:14:37.954Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=CiTAYjtK7F0FrfORK8OdlQ&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-07-30T10:00:27Z,SUCCESSFUL,https://funnytools.win/en/category/text/,https://funnytools.win/en/category/text/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/category/statistics/; https://funnytools.win/en/tools/,UNKNOWN,,200,44,>30 days,no
https://funnytools.win/en/category/time/,2026-09-13T08:14:43.786Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Ig5pkZaFtskM-cikS6J0RA&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-22T01:04:53Z,SUCCESSFUL,https://funnytools.win/en/category/time/,https://funnytools.win/en/category/time/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/; https://funnytools.win/category/time/,UNKNOWN,,200,22,15–30 days,no
https://funnytools.win/en/contact/,2026-09-13T08:14:44.937Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=-Lfn-QyOKJ8aXZLqOM0hQA&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-07-15T19:24:42Z,SUCCESSFUL,https://funnytools.win/en/contact/,https://funnytools.win/en/contact/,SELF_MATCH,MOBILE,0,,2,https://funnytools.win/en/category/statistics/; https://funnytools.win/en/tools/,UNKNOWN,,200,59,>30 days,no
https://funnytools.win/en/disclaimer/,2026-09-13T08:14:45.146Z,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=MlzMaEMbA6rqfRET5fzpSw&utm_medium=link&utm_source=api,Crawled Not Indexed,yes,yes,no,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-13T00:47:43Z,SUCCESSFUL,https://funnytools.win/en/disclaimer/,https://funnytools.win/en/disclaimer/,SELF_MATCH,MOBILE,0,,3,https://funnytools.win/en/category/statistics/; https://funnytools.win/disclaimer/; https://funnytools.win/en/tools/,UNKNOWN,,200,31,>30 days,no
